records,records_formatted,load_time_s,memory_system_gb,memory_df_gb,shape,status
100000,"100,000",0.1070241928100586,0.06182098388671875,0.04155269730836153,"(100000, 16)",SUCCESS
1000000,"1,000,000",0.5199334621429443,0.41297149658203125,0.4155362406745553,"(1000000, 16)",SUCCESS
5000000,"5,000,000",3.2100343704223633,1.6419639587402344,2.077693657949567,"(5000000, 16)",SUCCESS
10000000,"10,000,000",5.389780282974243,2.111553192138672,4.155383479781449,"(10000000, 16)",SUCCESS
20000000,"20,000,000",12.866925239562988,4.161689758300781,8.310773792676628,"(20000000, 16)",SUCCESS
