records,records_formatted,load_time_s,load_status,groupby_time_s,groupby_status,merge_time_s,merge_status,total_time_s,peak_memory_gb,operations_succeeded
100000,"100,000",0.1779468059539795,OK,0.0173492431640625,OK,0.06660079956054688,OK,0.4340205192565918,0.0,3
1000000,"1,000,000",0.491138219833374,OK,0.1271510124206543,OK,3.1532790660858154,OK,4.261479139328003,2.2655563354492188,3
5000000,"5,000,000",3.175239086151123,OK,0.5854012966156006,OK,9.466532945632935,OK,14.459180116653442,6.107246398925781,3
10000000,"10,000,000",5.8318822383880615,OK,1.1201257705688477,OK,4.55604100227356,OK,12.38274335861206,5.383060455322266,3
20000000,"20,000,000",13.122321605682373,OK,2.1966493129730225,OK,,INSUFFICIENT_MEMORY,16.011514902114868,6.061004638671875,2
